Location,Area_sqft,Road_Width_ft,Near_Highway,Distance_from_citycenter_km,Price_per_sqft
Trichy,1385.98,32.7,Yes,4.92,3046.14
Madurai,982.1,25.3,No,1.08,3079.08
Trichy,1547.6,30.6,No,3.63,2991.42
Coimbatore,1743.72,20.8,Yes,2.08,4665.76
Salem,999.9,12.5,Yes,4.35,2655.47
Madurai,1662.18,19.2,No,5.6,2511.88
Vellore,1749.36,33.2,No,1.88,2283.77
Vellore,1852.48,20.5,No,2.11,2100.2
Chennai,1038.32,19.2,Yes,1.02,5214.91
Coimbatore,1244.75,37.9,Yes,1.81,4506.56
Trichy,1716.8,35.9,No,4.13,2690.16
Chennai,877.37,16.0,Yes,1.8,5021.24
Vellore,1831.93,30.4,Yes,0.62,2653.93
Trichy,1551.77,20.5,No,2.69,2878.41
Chennai,1659.69,37.8,No,2.22,4702.46
Madurai,1469.67,24.9,Yes,0.74,2984.57
Salem,1200.01,19.1,Yes,5.24,2383.13
Chennai,1316.91,18.9,Yes,1.24,5272.82
Trichy,1672.47,39.6,Yes,3.36,3116.31
Vellore,1306.96,29.4,Yes,3.8,2323.76
Chennai,1783.61,33.7,No,1.77,4639.44
Trichy,1618.44,35.4,No,2.63,2862.81
Vellore,1062.15,25.0,Yes,3.01,2569.62
Trichy,1632.11,28.4,Yes,0.52,3468.02
Coimbatore,1406.14,34.0,Yes,0.61,4718.64
Madurai,1346.91,36.4,Yes,4.24,2840.59
Trichy,1466.89,18.7,No,5.29,2732.34
Vellore,1645.0,14.4,Yes,4.61,2426.06
Vellore,1607.23,25.1,No,1.68,2458.91
Chennai,1820.83,33.8,Yes,0.58,5286.17
Salem,1795.48,26.0,Yes,5.69,2543.01
Madurai,1992.15,29.6,No,5.58,2615.39
Vellore,995.19,19.7,Yes,2.74,2377.09
Coimbatore,1854.52,14.9,No,2.32,4390.79
Salem,1374.84,12.3,No,5.02,2157.83
Salem,935.08,12.3,Yes,2.62,2904.78
Salem,1171.62,14.2,No,0.5,2732.34
Chennai,1848.37,37.2,Yes,1.83,4867.25
Vellore,1249.85,39.3,Yes,0.58,2716.15
Madurai,1328.48,25.3,No,2.23,2601.53
Chennai,1351.75,19.7,Yes,5.61,4481.93
Coimbatore,855.58,27.2,Yes,5.06,4112.84
Salem,1995.23,16.5,Yes,1.47,2773.52
Chennai,1006.88,30.3,No,2.41,4852.17
Trichy,1024.24,38.4,No,4.52,2903.49
Coimbatore,1956.25,31.5,No,5.93,3746.04
Vellore,1713.41,19.2,No,0.73,2414.19
Salem,1503.35,31.4,Yes,4.28,2691.84
Salem,1577.12,12.5,No,4.46,2271.51
Salem,1244.71,30.1,Yes,1.05,2909.07
Chennai,1487.7,24.0,Yes,0.64,4974.35
Coimbatore,1935.53,22.8,Yes,1.53,4514.33
Vellore,1645.06,34.1,No,4.17,2104.39
Vellore,1151.16,24.8,Yes,5.13,2083.47
Coimbatore,1484.61,29.9,Yes,2.13,4680.42
Madurai,1441.4,17.2,No,3.15,2571.06
Salem,1251.39,33.6,No,3.06,2618.62
Trichy,891.08,22.2,No,2.73,2912.22
Chennai,1007.62,26.7,Yes,2.07,5049.79
Coimbatore,1776.52,27.9,Yes,5.71,4151.35
Vellore,846.41,15.8,Yes,3.49,2390.6
Coimbatore,1244.65,34.5,No,0.63,4374.63
Vellore,833.58,25.4,No,2.14,2354.01
Vellore,956.43,22.7,No,4.95,2100.7
Salem,1685.8,37.6,Yes,5.06,2407.11
Salem,1466.22,37.9,Yes,3.29,2479.82
Chennai,999.36,27.1,No,5.29,4448.56
Coimbatore,1049.79,14.1,Yes,1.51,4684.62
Salem,1415.37,37.4,No,2.35,2680.19
Coimbatore,1700.78,25.2,Yes,4.57,4197.22
Chennai,1219.98,17.7,Yes,5.52,4716.54
Salem,1929.29,26.5,No,2.88,2631.35
Trichy,1485.52,14.1,No,3.59,2668.42
Salem,1601.56,17.9,No,0.7,2908.13
Salem,1288.25,14.4,Yes,2.95,2555.35
Chennai,1733.86,39.9,Yes,2.45,5020.4
Salem,877.37,28.2,Yes,5.11,2289.03
Vellore,1541.92,35.1,Yes,3.83,2370.55
Salem,1812.82,32.9,No,4.64,2358.38
Vellore,1415.06,29.2,Yes,3.04,2355.19
Salem,1570.18,36.7,Yes,5.63,2415.22
Vellore,1373.95,28.2,No,2.69,2241.89
Madurai,1615.14,22.0,No,0.8,3058.05
Madurai,876.37,31.2,Yes,5.82,2553.92
Trichy,1954.97,31.4,Yes,5.54,3003.58
Madurai,1893.87,24.5,Yes,4.83,2771.8
Vellore,1292.68,39.3,Yes,4.69,2395.14
Chennai,1279.66,12.5,Yes,5.83,4626.25
Vellore,1017.31,29.0,No,4.52,2082.92
Vellore,867.5,26.2,No,2.81,2066.15
Vellore,894.48,13.3,No,4.88,2210.57
Chennai,1426.15,19.2,No,3.77,4771.87
Madurai,1903.11,33.2,No,3.99,2615.88
Salem,1284.11,18.5,Yes,4.56,2743.34
Vellore,1701.89,19.8,No,5.95,1764.32
Salem,1268.23,28.4,Yes,3.98,2516.71
Vellore,1348.9,37.4,No,3.8,2186.9
Vellore,1272.06,25.1,Yes,3.53,2188.29
Coimbatore,975.45,26.6,Yes,2.63,4363.91
Madurai,1397.89,19.2,Yes,2.06,2982.93
Trichy,1930.46,21.8,No,0.68,3119.79
Coimbatore,1855.95,23.8,No,4.07,4214.53
Madurai,1740.89,39.9,Yes,2.06,2922.64
Salem,1954.4,36.9,Yes,4.03,2733.67
Salem,1777.39,37.0,Yes,4.93,2428.9
Salem,1387.51,39.6,No,2.58,2422.88
Salem,1114.34,26.7,No,5.42,2072.0
Madurai,1731.36,16.8,No,4.53,2720.81
Vellore,1425.8,32.7,No,1.17,2505.82
Coimbatore,1741.45,32.0,Yes,4.94,4342.75
Trichy,814.38,30.4,Yes,1.72,3303.85
Vellore,1896.01,31.5,Yes,5.92,2250.87
Vellore,1010.89,32.8,No,4.36,1932.4
Trichy,1077.68,36.5,No,4.69,2589.23
Chennai,1202.66,36.6,No,3.29,4682.25
Chennai,1763.58,38.5,No,2.4,4809.46
Salem,847.97,17.9,Yes,1.69,2835.64
Chennai,918.55,15.0,Yes,1.28,4891.49
Salem,1228.57,39.6,Yes,5.35,2339.07
Madurai,1274.09,37.9,No,3.96,2439.01
Trichy,946.16,34.5,No,5.85,2542.44
Trichy,1641.79,29.7,Yes,3.04,3164.92
Madurai,1282.29,19.6,No,2.59,2558.52
Vellore,1377.56,18.5,No,3.79,1985.01
Trichy,1608.68,15.1,No,3.35,2903.88
Salem,833.14,29.8,Yes,2.44,2865.59
Salem,1115.48,18.4,Yes,2.9,2692.32
Salem,1531.34,17.4,No,3.86,2611.53
Chennai,1894.91,31.0,Yes,4.53,4594.06
Trichy,1693.5,31.6,No,3.14,3024.25
Trichy,1988.5,28.9,No,1.02,2928.62
Madurai,908.55,38.2,Yes,3.25,2954.89
Salem,1496.66,21.0,Yes,3.93,2644.93
Salem,1165.8,29.1,Yes,1.24,2991.3
Madurai,964.47,25.0,Yes,3.96,2668.7
Trichy,1789.32,22.9,Yes,3.8,3219.43
Salem,1819.16,32.3,Yes,5.88,2489.74
Madurai,1812.65,13.2,No,4.41,2717.92
Trichy,1346.87,26.3,Yes,1.79,3297.05
Coimbatore,1094.63,20.6,No,4.65,4020.89
Chennai,1302.67,38.2,No,1.08,4794.96
Salem,1162.76,36.9,No,2.48,2624.64
Chennai,1813.99,36.3,Yes,1.67,5179.8
Chennai,1577.73,23.4,No,1.89,4788.07
Chennai,1546.0,16.0,Yes,4.48,4640.04
Chennai,1099.22,18.3,No,4.85,4395.72
Chennai,1363.87,18.2,No,3.97,4638.44
Madurai,1588.05,38.1,No,1.65,2833.12
Chennai,1272.92,31.6,No,2.33,4641.71
Chennai,1972.83,28.3,No,0.95,4981.11
Coimbatore,990.54,23.3,Yes,1.95,4327.16
Salem,1809.68,29.0,Yes,1.49,2878.58
Trichy,1613.43,28.0,Yes,1.76,3206.21
Chennai,1352.52,23.8,No,1.19,4719.58
Trichy,1789.17,22.2,Yes,2.42,3183.39
Chennai,1092.84,28.2,No,5.22,4313.97
Vellore,1314.02,22.7,No,5.09,1877.77
Salem,1453.7,14.7,No,4.25,2489.04
Coimbatore,1244.1,31.6,No,0.54,4416.82
Trichy,1579.34,19.0,Yes,5.34,2845.27
Chennai,1212.4,14.9,Yes,4.23,4798.96
Chennai,1615.89,14.4,No,2.78,4809.83
Madurai,1177.57,36.2,No,5.94,2265.07
Trichy,1465.23,23.1,No,2.17,2808.66
Trichy,1855.83,26.1,Yes,5.13,3069.6
Salem,959.7,39.2,Yes,4.32,2744.31
Chennai,1330.91,23.3,Yes,4.27,4901.46
Coimbatore,1169.81,21.9,No,5.33,4110.1
Coimbatore,1780.26,38.5,Yes,5.4,4348.33
Chennai,848.03,37.7,Yes,4.48,4803.07
Trichy,912.99,28.0,Yes,4.69,2885.43
Chennai,1850.76,28.2,Yes,3.65,4719.78
Chennai,1937.56,35.8,No,0.5,4903.44
Vellore,1426.87,35.6,Yes,3.72,2299.21
Trichy,1959.47,39.9,No,1.9,2909.88
Vellore,1256.63,34.0,No,5.95,1855.65
Chennai,1350.77,29.2,Yes,0.71,4956.27
Trichy,1853.71,33.3,No,5.89,2765.16
Chennai,1053.93,31.2,Yes,3.04,4799.13
Vellore,1552.7,33.6,Yes,0.57,2595.02
Madurai,1667.16,19.8,Yes,5.82,2566.93
Chennai,874.37,39.5,Yes,3.64,4698.84
Madurai,1644.21,37.5,Yes,0.52,3084.36
Trichy,1548.89,19.9,No,1.63,2943.91
Coimbatore,1946.6,27.4,Yes,1.74,4686.72
Chennai,1166.18,24.7,No,4.2,4698.29
Trichy,1433.72,14.8,Yes,1.07,3202.71
Trichy,1381.52,16.9,No,3.0,3056.74
Madurai,1242.21,39.5,Yes,4.12,2763.45
Trichy,1658.54,31.2,Yes,1.27,3308.97
Chennai,1305.24,23.7,No,3.55,4844.33
Vellore,1487.02,15.1,No,4.9,2081.61
Vellore,1984.48,25.7,Yes,2.63,2326.85
Salem,1205.1,28.7,No,1.23,2482.65
Madurai,1765.79,14.5,Yes,4.34,2592.0
Vellore,1025.4,24.3,No,4.97,1822.56
Coimbatore,1690.11,25.9,Yes,0.81,4466.78
Madurai,1592.33,37.5,No,1.5,2803.99
Salem,1033.05,27.1,No,3.52,2259.71
Coimbatore,884.12,24.8,Yes,2.68,4601.68
Trichy,912.7,18.2,No,3.59,3035.26
Trichy,1018.89,17.8,No,3.67,2640.65
Trichy,1847.79,24.5,No,5.46,2798.0
Salem,1863.14,35.1,No,5.52,2226.86
Madurai,1565.89,38.3,No,1.68,2993.29
Coimbatore,1101.39,35.3,No,2.2,4090.79
Vellore,984.87,37.2,Yes,0.6,2523.54
Salem,1753.48,12.2,No,2.89,2539.66
Coimbatore,1687.9,28.6,No,2.03,4369.4
Salem,1629.66,36.0,No,0.53,2928.71
Coimbatore,1534.55,21.5,Yes,1.46,4364.92
Salem,968.79,13.4,Yes,5.43,2316.04
Chennai,956.01,16.5,Yes,1.58,5240.16
Salem,1704.74,12.5,Yes,1.05,2741.71
Coimbatore,1464.16,28.4,Yes,5.92,4224.4
Salem,1255.54,19.3,No,2.75,2409.64
Coimbatore,1770.53,16.6,Yes,1.54,4399.77
Vellore,1431.96,17.7,No,1.45,2507.96
Madurai,1013.66,17.7,Yes,1.92,2848.53
Trichy,1856.03,21.3,No,0.77,3040.36
Salem,1334.97,16.6,No,1.18,2628.95
Trichy,829.78,32.9,Yes,3.68,3183.44
Chennai,1107.29,16.2,No,1.27,4742.91
Trichy,882.92,37.2,Yes,5.87,2992.38
Madurai,1666.16,18.2,Yes,0.86,3175.78
Vellore,1541.79,25.1,No,1.04,2482.66
Trichy,1757.02,13.6,No,2.89,2739.36
Chennai,1412.14,23.6,Yes,1.47,5056.1
Salem,1710.59,28.6,Yes,5.83,2253.48
Madurai,1732.6,27.7,Yes,3.0,2731.8
Coimbatore,1531.11,25.4,Yes,5.46,4115.31
Coimbatore,1097.72,15.6,Yes,4.5,4098.04
Salem,1543.28,16.5,No,5.25,2097.14
Coimbatore,1476.87,36.7,No,1.49,4504.86
Coimbatore,1211.93,35.7,Yes,0.57,4494.0
Coimbatore,1977.25,24.3,Yes,2.06,4396.88
Trichy,1333.03,13.4,No,3.73,3007.53
Madurai,1490.29,16.4,Yes,5.09,2594.03
Chennai,1519.92,21.6,Yes,5.87,4487.0
Vellore,1739.78,38.0,Yes,5.64,2010.67
Coimbatore,1261.02,18.5,Yes,1.56,4547.86
Vellore,1840.45,31.2,Yes,3.6,2278.31
Trichy,1478.24,22.3,Yes,2.39,3358.84
Coimbatore,1258.65,36.3,Yes,2.35,4459.73
Salem,1510.05,18.2,No,0.54,2924.87
Madurai,1860.33,17.6,No,3.36,2749.04
Coimbatore,978.85,22.1,Yes,4.73,4246.58
Coimbatore,1148.49,29.3,Yes,3.55,4344.31
Vellore,1298.99,22.7,Yes,4.62,2212.12
Trichy,1346.79,19.4,Yes,4.33,3028.01
Madurai,1978.01,37.9,No,5.21,2318.68
Trichy,1470.4,20.0,No,3.45,3035.72
Coimbatore,1937.83,34.2,Yes,4.51,4358.19
Trichy,1421.53,16.7,Yes,1.2,3375.28
Chennai,1589.31,25.6,No,4.84,4493.74
Coimbatore,870.66,15.3,No,3.13,4141.7
Coimbatore,1733.64,30.9,Yes,5.92,3968.95
Vellore,1499.82,25.1,No,2.69,2154.23
Chennai,1629.43,32.4,Yes,1.84,5081.08
Salem,1254.81,31.0,Yes,3.92,2784.12
Chennai,1414.08,13.0,No,3.28,4721.79
Madurai,1665.71,21.7,Yes,3.41,2678.34
Madurai,1078.68,20.5,No,3.81,2741.75
Trichy,1909.02,15.2,No,2.11,2953.78
Salem,941.41,22.2,Yes,5.37,2609.17
Salem,1680.8,28.9,Yes,5.06,2673.83
Chennai,1641.9,39.1,No,1.24,4981.98
Trichy,885.58,36.0,No,2.3,2941.47
Madurai,1852.39,22.2,No,3.34,2705.0
Chennai,1079.23,19.8,Yes,5.03,4896.7
Salem,1394.22,34.5,No,3.23,2612.72
Salem,1377.45,14.2,Yes,0.89,2966.92
Vellore,1466.44,37.5,Yes,4.37,2286.72
Vellore,1115.87,18.1,Yes,5.08,2115.77
Trichy,870.42,25.9,Yes,3.61,3223.32
Coimbatore,1928.8,15.8,Yes,2.47,4268.9
Coimbatore,1225.45,34.4,No,4.38,4227.84
Vellore,1590.5,25.8,Yes,2.48,2255.22
Coimbatore,1895.6,26.2,Yes,5.16,4299.56
Chennai,943.92,19.7,Yes,2.14,5145.27
Madurai,1473.93,12.3,No,5.08,2293.17
Coimbatore,927.54,33.9,No,2.13,4123.61
Trichy,1926.41,35.7,Yes,3.07,3094.55
Salem,1167.68,22.2,Yes,3.35,2681.69
Chennai,1009.2,12.1,Yes,3.6,4960.7
Coimbatore,1911.92,13.5,No,4.5,4064.02
Coimbatore,1337.69,26.7,Yes,5.53,4134.13
Salem,1608.67,23.9,No,3.45,2606.94
Salem,1435.21,17.3,Yes,1.42,2869.34
Vellore,973.04,28.4,No,0.78,2473.88
Chennai,1415.5,14.4,Yes,4.9,4882.03
Trichy,900.14,33.1,Yes,1.71,3415.8
Salem,1395.36,35.2,Yes,1.41,2826.81
Madurai,1078.52,35.3,Yes,4.75,2656.63
Salem,1021.1,31.7,Yes,3.97,2473.21
Chennai,837.17,23.7,No,4.71,4684.54
Chennai,1287.57,16.0,Yes,5.32,4580.62
Vellore,1065.21,18.0,Yes,5.59,2292.89
Chennai,1284.18,16.5,No,2.18,4862.53
Chennai,1297.98,18.5,No,1.01,4823.75
Coimbatore,923.89,30.2,Yes,3.96,4378.65
Coimbatore,1593.77,15.1,No,5.23,3825.5
Salem,1104.06,33.8,Yes,1.37,2694.55
Coimbatore,984.82,37.2,No,4.56,3948.88
Madurai,1676.55,21.5,Yes,0.66,3275.02
Trichy,1366.27,33.8,No,0.74,3260.05
Coimbatore,879.71,12.7,No,4.03,4196.97
Chennai,1039.0,27.8,Yes,3.66,4740.94
Madurai,1423.91,24.1,No,4.62,2383.87
Vellore,896.57,22.0,No,4.22,2073.84
Salem,1572.49,36.6,Yes,2.28,2666.95
Coimbatore,1199.09,23.0,Yes,0.83,4804.08
Madurai,1756.2,24.8,Yes,3.45,2915.3
Trichy,1252.99,29.0,Yes,5.44,2822.21
Chennai,1921.89,30.3,Yes,1.43,5017.51
Salem,1364.17,12.9,Yes,4.14,2605.92
Vellore,965.32,36.1,No,2.16,2462.02
Trichy,1711.53,13.0,No,0.96,3152.01
Madurai,836.74,27.5,Yes,3.91,2680.42
Vellore,1009.08,20.4,Yes,1.77,2486.23
Salem,1362.54,38.7,No,5.49,2271.92
Coimbatore,1344.51,19.9,No,2.6,4160.69
Trichy,840.62,13.8,Yes,4.57,3121.42
Trichy,1117.47,33.1,No,0.55,2964.51
Madurai,1251.85,20.5,No,4.28,2505.52
Salem,1535.79,38.0,Yes,5.48,2451.29
Trichy,1726.76,23.1,No,4.96,2880.86
Chennai,1469.94,38.6,No,1.57,4683.52
Coimbatore,1114.77,30.0,No,2.37,4401.98
Vellore,1453.66,12.9,No,5.6,1863.14
Vellore,959.43,27.9,Yes,1.89,2461.23
Chennai,923.02,12.7,No,1.36,4801.97
Salem,1161.47,27.8,No,1.95,2792.84
Vellore,975.17,37.1,No,5.81,2017.04
Trichy,1358.51,35.4,Yes,1.45,3180.67
Coimbatore,1369.49,16.1,Yes,3.21,4525.09
Vellore,1912.4,16.4,Yes,4.87,2411.13
Salem,1078.17,36.2,Yes,5.71,2274.24
Coimbatore,1390.79,22.8,Yes,0.53,4610.51
Salem,1450.25,17.9,Yes,2.52,2583.96
Salem,1236.47,16.7,Yes,3.68,2734.93
Salem,924.12,31.8,No,2.56,2544.19
Chennai,1607.19,28.7,No,5.31,4657.18
Salem,1050.27,15.9,Yes,5.26,2525.97
Salem,1396.06,29.8,Yes,4.32,2414.39
Coimbatore,1534.78,34.3,Yes,2.19,4319.02
Coimbatore,1209.46,24.5,No,1.07,4550.81
Coimbatore,838.3,27.6,No,2.39,4355.51
Madurai,824.06,35.0,No,3.34,2828.28
Trichy,1532.83,38.4,Yes,1.0,3118.88
Vellore,1991.25,33.2,No,3.69,2308.0
Coimbatore,856.54,29.1,No,4.86,4195.41
Vellore,1697.62,29.8,No,1.22,2246.39
Salem,1111.35,12.5,Yes,4.12,2605.87
Salem,1767.73,21.8,Yes,1.43,3047.89
Trichy,1029.15,37.3,No,4.43,2805.93
Salem,840.76,34.3,No,3.17,2360.19
Salem,1851.71,17.5,Yes,3.73,2477.86
Trichy,907.02,19.5,No,4.1,2808.05
Chennai,1261.28,38.1,No,4.86,4599.63
Coimbatore,1703.54,39.5,Yes,0.53,4729.33
Coimbatore,879.12,16.7,Yes,3.42,4358.07
Madurai,1238.31,27.2,No,1.34,2811.72
Madurai,1845.89,35.8,Yes,4.32,2573.04
Vellore,1179.38,37.8,No,4.71,2215.85
Vellore,1886.18,17.6,Yes,2.23,2342.14
Trichy,1400.95,28.4,No,1.38,3075.09
Chennai,937.12,39.0,Yes,1.77,4940.04
Coimbatore,926.4,34.0,No,0.72,4528.0
Coimbatore,1978.8,27.5,No,4.32,4223.45
Salem,950.87,20.3,Yes,4.68,2669.85
Vellore,1910.85,27.7,No,3.9,2082.38
Vellore,1266.3,24.3,No,3.97,1995.88
Vellore,998.53,20.7,Yes,4.28,2382.05
Chennai,1649.07,20.0,No,4.23,4413.78
Madurai,1508.69,37.5,No,1.76,2726.26
Trichy,991.1,16.2,No,0.55,3057.83
Trichy,1242.77,31.9,No,4.45,2722.06
Trichy,1226.86,33.6,No,3.38,2810.44
Vellore,912.5,23.5,Yes,1.08,2663.11
Chennai,1765.65,19.1,Yes,2.12,4842.33
Vellore,1304.6,18.5,Yes,1.34,2580.36
Coimbatore,1043.49,28.3,Yes,4.67,4073.86
Chennai,1387.53,36.6,Yes,2.74,5030.03
Coimbatore,1421.48,20.0,No,2.45,4122.51
Salem,1214.55,23.5,No,4.48,2359.28
Vellore,907.87,34.9,No,3.72,2261.31
Trichy,865.9,13.1,Yes,3.82,2912.77
Salem,1202.54,31.7,Yes,3.15,2622.16
Vellore,818.13,32.7,Yes,3.3,2187.13
Coimbatore,1880.38,26.8,No,4.12,4221.96
Trichy,890.9,36.2,No,2.57,3126.4
Madurai,1480.58,39.2,Yes,5.21,2757.18
Madurai,1113.46,35.7,No,4.89,2622.49
Vellore,1723.8,13.7,Yes,1.93,2442.59
Coimbatore,1760.27,23.4,Yes,5.49,4340.74
Vellore,1342.54,32.2,Yes,4.02,2431.83
Coimbatore,1032.59,31.4,No,2.28,4226.16
Salem,1561.24,31.8,No,4.35,2273.48
Chennai,1977.82,31.1,No,0.84,4808.4
Trichy,1347.22,39.4,Yes,4.87,2752.14
Coimbatore,1928.57,19.9,Yes,2.41,4438.32
Trichy,1565.46,14.7,No,0.73,3299.15
Coimbatore,1871.21,19.8,No,5.68,3899.09
Trichy,1043.46,38.7,No,4.28,2869.06
Chennai,1267.16,12.7,No,5.31,4328.58
Salem,847.41,18.6,No,2.83,2591.91
Chennai,1354.94,29.2,No,4.65,4701.92
Vellore,1580.73,17.3,No,0.95,2340.79
Chennai,1761.99,29.1,No,5.68,4538.78
Coimbatore,1941.08,22.8,No,5.58,3935.55
Coimbatore,1428.99,14.7,Yes,2.93,4472.83
Coimbatore,1944.15,24.8,Yes,3.32,4417.08
Trichy,1628.34,16.1,Yes,4.73,2921.1
Salem,1289.13,26.4,Yes,2.12,2656.32
Coimbatore,1458.45,12.6,No,5.28,3985.83
Vellore,1794.89,17.9,No,3.62,2328.58
Trichy,953.37,26.0,No,3.08,3036.15
Madurai,1364.39,37.5,No,1.99,2996.1
Salem,1012.81,24.6,Yes,2.78,2919.14
Salem,1301.67,29.5,No,1.26,2615.77
Chennai,1161.87,12.3,Yes,2.87,5019.37
Chennai,1862.9,38.2,No,2.95,4648.88
Coimbatore,1228.09,13.5,No,4.55,4143.84
Salem,1310.67,34.7,No,2.55,2569.21
Trichy,1143.86,35.5,Yes,1.84,3079.94
Madurai,1211.55,35.8,Yes,2.42,3051.36
Trichy,1516.1,26.6,No,0.7,3220.39
Trichy,1770.16,26.5,Yes,5.76,2783.23
Chennai,1434.53,31.9,Yes,5.36,4586.85
Chennai,1262.11,18.9,No,4.82,4453.41
Trichy,1954.8,35.1,No,4.79,2603.07
Madurai,1656.69,34.9,Yes,3.07,2877.27
Trichy,1566.97,37.1,Yes,2.67,3045.87
Madurai,885.58,24.7,No,1.92,2734.3
Vellore,1723.37,29.6,No,2.03,2452.1
Madurai,1554.63,16.4,Yes,4.0,2755.54
Trichy,1235.03,33.5,No,2.83,2831.37
Madurai,1605.55,28.8,Yes,1.6,2966.32
Chennai,1068.07,35.4,No,0.61,5039.63
Madurai,1027.58,27.3,No,3.41,2485.12
Vellore,1371.77,30.2,No,2.63,2264.88
Salem,1786.8,24.8,Yes,4.68,2566.71
Coimbatore,1016.27,37.4,Yes,1.62,4546.03
Coimbatore,1341.85,36.7,No,2.08,4483.27
Salem,1159.77,16.4,No,4.42,2248.15
Trichy,930.71,22.2,No,5.67,2512.69
Trichy,850.09,15.3,Yes,3.12,3208.11
Madurai,1162.02,36.9,No,0.52,3141.65
Salem,1255.35,12.2,Yes,3.51,2518.91
Salem,1785.11,30.6,No,5.48,2341.34
Chennai,1338.95,27.2,No,5.27,4560.58
Vellore,1187.5,18.4,No,4.22,2017.51
Madurai,887.31,19.6,No,5.2,2463.48
Madurai,1988.79,39.7,No,5.69,2565.18
Trichy,1628.25,22.9,Yes,5.49,2790.63
Chennai,1395.58,26.9,Yes,2.61,4942.99
Trichy,1433.93,16.7,Yes,5.62,2824.09
Vellore,816.73,18.3,Yes,1.35,2488.36
Coimbatore,1861.83,21.7,Yes,2.47,4626.77
Coimbatore,1012.49,31.2,No,3.29,4071.04
Vellore,1119.87,29.8,Yes,5.93,2033.41
Coimbatore,1397.48,22.9,Yes,4.65,4296.95
Coimbatore,861.23,35.2,Yes,1.53,4722.97
Madurai,1624.81,16.2,No,2.71,2831.63
Coimbatore,872.77,37.6,Yes,0.78,4798.16
Salem,1285.88,32.3,No,3.54,2435.1
Trichy,1466.85,21.5,Yes,4.26,3119.03
Trichy,819.57,31.3,Yes,1.95,3330.54
Vellore,886.14,36.4,Yes,1.66,2717.06
Chennai,1177.87,28.4,No,0.6,4768.17
Chennai,1416.82,29.2,No,5.76,4252.35
Salem,1298.44,24.5,No,5.65,2119.65
Madurai,1522.46,14.0,No,5.42,2365.61
Vellore,895.03,30.7,No,1.58,2389.55
Salem,1942.88,29.2,No,2.56,2496.67
Salem,1719.6,38.3,No,3.71,2309.15
Coimbatore,852.99,20.5,No,5.68,3904.68
Madurai,1862.3,38.3,Yes,0.51,2986.52
Chennai,1124.62,16.9,No,0.79,4738.77
Coimbatore,977.31,16.3,No,1.87,4358.77
Coimbatore,1377.58,37.0,Yes,4.83,4394.56
Salem,1746.7,16.2,Yes,5.48,2489.53
Salem,1488.54,20.1,Yes,4.91,2419.33
Trichy,1631.08,17.9,Yes,3.94,3075.79
Vellore,1233.4,23.6,No,1.15,2286.56
Trichy,1599.87,34.5,No,1.16,3113.81
Salem,1904.78,39.9,Yes,4.49,2599.11
Coimbatore,1256.4,37.9,Yes,5.85,4249.03
Chennai,1147.42,31.5,No,5.79,4544.72
Coimbatore,1044.68,13.5,Yes,4.66,4045.69
Salem,1946.94,24.4,No,4.13,2503.09
Chennai,1457.49,27.6,No,5.7,4272.84
Trichy,1194.11,21.4,No,5.7,2627.74
Chennai,1578.39,29.4,No,3.27,4745.39
Vellore,1854.5,35.4,No,2.81,2392.37
Madurai,1406.6,19.9,Yes,3.71,2758.95
Chennai,1513.41,37.8,No,1.61,5010.6
Vellore,999.47,29.5,Yes,4.35,2146.11
Coimbatore,1963.98,35.8,No,2.92,4230.95
Trichy,854.8,26.2,Yes,0.75,3273.58
Chennai,1037.46,37.0,No,4.82,4362.41
Vellore,879.14,18.4,Yes,1.14,2454.56
Trichy,1385.1,32.0,No,1.81,3031.72
Trichy,1070.31,21.8,No,2.46,2944.23
Salem,968.07,16.6,Yes,1.37,2940.82
Trichy,1207.56,20.6,Yes,5.58,2708.54
Salem,1117.24,16.7,Yes,4.76,2377.44
Coimbatore,843.83,17.5,Yes,3.49,4300.1
Coimbatore,1284.43,13.0,No,2.6,4077.96
Chennai,1450.0,33.6,No,2.08,4719.02
Salem,1208.01,25.4,No,4.95,2230.34
Chennai,1379.59,34.5,No,3.8,4665.95
Coimbatore,1865.29,24.7,Yes,3.29,4381.62
Trichy,1004.75,14.6,Yes,3.21,2995.97
Madurai,1718.18,13.8,No,1.4,2953.38
Coimbatore,1683.06,36.9,No,1.1,4514.78
Salem,1388.01,31.0,No,3.76,2417.18
Madurai,1327.87,39.6,Yes,3.7,2957.31
Coimbatore,1830.78,29.4,No,0.97,4493.69
Madurai,870.11,22.0,No,4.72,2633.36
Vellore,811.89,18.2,No,4.16,2257.5
Salem,1439.35,33.6,Yes,4.37,2464.4
Salem,1161.8,27.2,No,1.4,2854.72
Trichy,1003.83,30.2,No,2.92,2976.38
Vellore,1641.17,22.1,Yes,4.22,2177.86
Trichy,1372.7,36.4,Yes,1.08,3418.64
Madurai,1209.6,32.8,Yes,5.87,2561.3
Vellore,1678.96,29.4,Yes,3.11,2583.67
Coimbatore,1028.44,33.4,No,2.17,4420.36
Trichy,1766.8,24.1,Yes,2.47,2981.77
Vellore,1919.0,37.2,No,0.75,2402.52
Coimbatore,1089.22,32.5,No,0.65,4592.48
Madurai,1306.58,31.5,Yes,5.52,2767.55
Coimbatore,1449.42,13.4,Yes,4.98,4067.35
Trichy,988.68,12.9,Yes,1.51,3119.95
